OBJECTID,ID,LENGTH,DIR,LINKNUM,ANODE,BNODE,LINKNAME,RIVERNAME,AMILE,BMILE,LENGTH1,LENGTH_SRC,SHAPE_SRC,LINKTYPE,CTRL_DEPTH,WATERWAY,GEO_CLASS,FUNC_CLASS,WTWY_TYPE,CHART_ID,NUM_PAIRS,WHO_MOD,DATE_MOD,HEADING,STATE,FIPS,FIPS2,NON_US,SE_ANNO_CAD_DATA,KEY_ID,WTWY_UNIQ,MIN_MEAS,MAX_MEAS,SHAPE_Length
11,307690,0.882149,0,442166,17160,17140,"SEVERN RIVER, ANNE ARUNDEL CTY, MD",SEVERN RIVER,0,0,0.88,V,JR,CORPS,38,492,I,B,6,12263,2,R, ,S,MD,24,00, ,,442166_492-R2-1,492-R2-1,3.405,4.29664984,0.0153787437487077
12,347269,1.521194,0,383900,11470,11460,"FALMOUTH HARBOR, MA",FALMOUTH HARBOR,2,0,1.51999998,V,JR,CORPS,10,177,I,S,1,13229,4,R, ,S,MA,25,00, ,,383900_177-R2-1000,177-R2-1000,0,1.50739841,0.0232387424949592
13,365937,10.866157,0,277500,31760,31940,"ANDREWS ISLAND, ME",PENOBSCOT BAY,0,0,10.86999989,V,JR,CORPS,100,1118,I,U,1,13302,4,R, ,S,ME,23,00, ,,277500_1118-R2-1000,1118-R2-1000,0,10.84039087,0.15994282454953
14,372684,4.815093,0,223500,37030,37020,"HEAD HARBOR, ME",HEAD HARBOR,0,0,4.82000017,V,JR,CORPS,12,1014,I,S,1,13325,2,R, ,S,ME,23,00, ,,223500_1014-R2-1000,1014-R2-1000,0,4.78491378,0.0732099683826076
15,328485,5.527384,0,421900,14170,15750,ATL OCN OFFSR DE BAY @ 5 FTH BANK,ATLANTIC DEEP WATER ACCESS,0,0,5.53000021,V,JR,CORPS,60,1352,O,U,5,12214,2,V A,01201997,E,NJ,34,00, ,,421900_1352-R2-1000,1352-R2-1000,0,5.36263006,0.0922641983079273
16,306114,3.421484,0,451200,18130,18110,NANTICOKE RIVER (INCL NW FORK),NANTICOKE RIVER,5,3,3.42000008,V,JR,CORPS,12,432,I,S,6,12230,3,R, ,S,MD,24,00, ,,451200_432-R2-1,432-R2-1,6.0819,9.4765,0.0515683053982601
17,282522,2.806219,0,480266,256390,20990,"PAMLICO SOUND, NC",PAMLICO SOUND,2.4,0,2.80999994,V,JR,CORPS,20,1308,I,B,1,11555,2,R, ,W,NC,37,00, ,,480266_1308-R2-1000,1308-R2-1000,0,2.6942,0.0474395640500766
18,295524,23.057383,0,458100,18790,18780,"PUNGOTEAGUE CREEK AREA, VA",PUNGOTEAGUE CREEK,5,0,23.05999947,V,JR,CORPS,13,1244,I,S,6,12225,10,R, ,W,VA,51,00, ,,458100_1244-R2-1,1244-R2-1,0,22.09264426,0.408272680192017
19,338353,2.727567,0,406500,13730,13720,"BROWNS CREEK, NY",BROWNS CREEK,2,0,2.73000002,V,JR,CORPS,6,224,I,S,6,12353,9,R, ,S,NY,36,00, ,,406500_224-R2-1,224-R2-1,0,2.5935017,0.0394553086989778
20,189612,2496.04394,0,325400,8380,7420,"ATLANTIC; C BRETON TO WINDWARD PSG",ATLANTIC DEEP WATER SPINE,0,0,2496.04003906,V,JR,CORPS,99,9108,O,D,5,0,5,V,03311998,S,XX,99,00,AT,,325400_9108-R0-1009,9108-R0-1009,0,2500.54093328,36.5490385503302
21,164684,0.328307,0,337400,510420,6400,CANAVERAL BARGE CANAL,CANAVERAL BARGE CANAL,3.6,4,0.31999999,V,DD,CORPS,8,2104,I,S,9,11484,2,H,08081996,W,FL,12,00, ,,337400_2104-R2-1,2104-R2-1,5.2231,5.53875898,0.00537900365971568
22,302776,6.617562,0,449300,17940,17930,"PATUXENT RIVER, MD",PATUXENT RIVER,4,0,6.61999989,V,DD,CORPS,14,479,I,B,6,12230,4,H,08051996,E,MD,24,00, ,,449300_479-R2-1,479-R2-1,0,6.28710897,0.115842877437977
23,152146,204.493744,0,871300,7460,56820,PACIFIC SPINE,PACIFIC DEEP WATER SPINE,281,0,204.49000549,V,JR,CORPS,99,9250,O,D,5,0,2,V A,01201997,E,XX,99,00,PC,,871300_9250-R0-1000,9250-R0-1000,0,227.0284531,2.98161948877661
24,345207,4.677501,0,389200,12010,12110,"GREENWICH BAY, RI (OPEN WATERS AND",GREENWICH BAY,3,0,4.67999983,V,JR,CORPS,5,195,I,S,1,13224,3,R, ,E,RI,44,00, ,,389200_195-R2-1000,195-R2-1000,0,4.4819,0.0841636485636763
25,307743,1.495091,0,442633,17130,252130,"CHESAPEAKE BAY, MD AND VA",CHESAPEAKE BAY,165,163.9,1.5,V,JR,CORPS,47,400,I,B,1,12263,2,R, ,S,MD,24,00, ,,442633_400-R2-1,400-R2-1,124.3901,125.8794,0.0221302773128318
26,138804,83.518623,0,2833600,5270,283230,GULF DEEP WATER SPINE,GULF DEEP WATER SPINE,0,0,83.51999664,V,VR,VANDERBILT,-1,7425,O,D,3,11360,4,V A,01201997,S,XX,99,00,GM,,2833600_7425-R0-1001,7425-R0-1001,0,83.49968762,1.21366324969787
27,184964,0.775956,0,2602900,260190,32090,"HOG ISLAND, SC",COOPER RIVER ACCESS,0,0,0.76999998,V,VR,VANDERBILT,-1,1132,I,B,1,11524,2,V,12021998,W,SC,45,00, ,,2602900_1132-R2-1000,1132-R2-1000,0,0.73846322,0.0132967896368497
28,369587,4.445808,0,239700,36070,36060,"BLACK LEDGE, ME",GULF OF MAINE,0,0,4.44999981,V,JR,CORPS,10,1048,O,U,1,13312,2,V A,09132007,S,ME,23,00, ,,239700_1048-R2-1000,1048-R2-1000,0,4.44579481,0.0643947241636395
29,324573,10.160211,0,516900,34750,34730,"OCEAN CITY HBR & SINEPUXENT BAY, M",MARYLAND INTRACOASTAL WATERWAY,0,15,10.15999985,V,JR,CORPS,10,450,I,S,1,12200,2,R, ,N,MD,24,00, ,,516900_450-R2-1000,450-R2-1000,3.7795,13.76388292,0.160243413998509
30,370264,6.238863,0,228000,36620,8730,"FRENCHBORO, ME",LUNT HARBOR,0,0,6.23999977,V,DD,CORPS,100,1056,O,D,1,13312,4,V A,01201997,S,ME,23,00, ,,228000_1056-R2-1000,1056-R2-1000,0,6.16034283,0.0978897207712793
31,311830,2.24526,0,434700,16270,16260,"BRANDYWINE RIVER, WILMINGTON, DE",BRANDYWINE RIVER,3,0,2.25,V,DD,CORPS,7,1279,I,S,6,12312,20,H,08021996,S,DE,10,00, ,,434700_1279-R2-1,1279-R2-1,0,2.30905289,0.0398792473948742
32,338106,3.855834,0,421100,15150,15140,"WESTCOTT COVE, CT",WESTCOTT COVE,0,0,3.8599999,V,JR,CORPS,8,316,I,S,1,12364,2,R, ,S,CT,09,00, ,,421100_316-R2-1,316-R2-1,0,3.84162495,0.056629710780423
33,310733,10.017619,0,434066,301210,16720,INLAND WTWY FR DE RVR TO CHESA,BACK CREEK,9.2,15,10.02000046,V,DD,CORPS,35,248,I,S,6,12273,15,H,08051996,W,MD,24,00, ,,434066_248-R2-1,248-R2-1,24.42577614,34.40648181,0.1849745723932
34,337496,0.764542,0,419600,15040,15030,ATL OCN-OFF LONG ISLAND SOUND,LONG ISLAND SOUND,2,0,0.75999999,V,JR,CORPS,20,1881,I,B,3,12364,2,V A,01201997,W,NY,36,00, ,,419600_1881-R2-1,1881-R2-1,0,0.7392,0.0131607061209717
35,333344,0.98651,0,208200,14710,13950,"JAMAICA BAY, NY (PORT OF NY)",JAMAICA BAY,4,2,0.98000002,V,JR,CORPS,19,367,I,B,1,12327,2,R, ,W,NY,36,00, ,,208200_367-R2-1,367-R2-1,0,0.9358,0.0181735985827406
36,176528,4.558371,0,501966,264590,33170,"ST. SIMONS SOUND, GA",ST. SIMONS SOUND,2.5,0,4.55999994,V,JR,CORPS,39,1620,I,D,8,11506,3,V A,01201997,E,GA,13,00, ,,501966_1620-R2-1000,1620-R2-1000,0,4.39579313,0.074848216457375
37,299021,1.644059,0,514700,34500,34480,"ACCOTINK CREEK, VA",ACCOTINK CREEK,3,0,1.63999999,V,DD,CORPS,4,453,I,S,6,0,3,V A,01201997,S,VA,51,00, ,,514700_453-R2-1,453-R2-1,0,1.85794312,0.0306960158017937
38,354263,16.470215,0,506600,33660,33650,ST. ALBANS HARBOR (LK CHAMPLAIN) VT,ST. ALBANS HARBOR,3,0,16.46999931,V,DD,CORPS,7,212,I,S,1,44073-E1-TM-100,13,V A,01201997,W,VT,50,00, ,,506600_212-R2-1,212-R2-1,0,21.34141238,0.37676086819552
39,158144,1.301889,0,256910,12860,402600,"EAST BAY, FL",EAST BAY,34.8,33.5,1.29999995,V,DD,CORPS,43,2037,I,B,1,11412,4,V,06102000,S,FL,12,00, ,,256910_2037-R2-1000,2037-R2-1000,1.345,2.63998696,0.0192826083743809
40,303699,1.422161,0,447500,17760,17750,"ISLAND CREEK, MD",ISLAND CREEK,2,0,1.41999996,V,JR,CORPS,4,421,I,S,6,0,2, , ,S,MD,24,00, ,,447500_421-R2-1,421-R2-1,0,1.39656597,0.0225379902313535
41,356663,6.455357,0,288900,5810,10110,"PARKER RIVER, MA",PARKER RIVER,0,0,6.46000004,V,DD,CORPS,100,1168,I,S,7,13282,8,H,08011996,S,MA,25,00, ,,288900_1168-R2-1000,1168-R2-1000,0,6.30201909,0.1072498285245
42,370901,4.168561,0,228700,36540,36530,"SUTTON ISLAND,ME",FRENCHMAN BAY,4,0,4.17000008,V,JR,CORPS,6,107,I,S,1,13312,2,R, ,E,ME,23,00, ,,228700_107-R2-1001,107-R2-1001,0,3.9243528,0.0835436604492339
43,173218,51.990047,0,338510,6520,301030,"IW, JACKSONVILLE TO MIAMI, FL",ATLANTIC INTRACOASTAL WATERWAY,470,416.2,51.99000168,V,DD,CORPS,12,2046,I,S,2,11486,90,H,08081996,S,FL,12,00, ,,338510_2046-R2-1,2046-R2-1,37.56226302,88.95991822,0.771835825927521
44,161628,6.394213,0,343600,6030,7070,ATL OCEAN AT PALM BEACH HBRFLA,ATLANTIC DEEP WATER SPUR,0,0,6.38999987,V,JR,CORPS,30,2706,O,U,5,11466,2,V A,01201997,S,XX,99,00,AT,,343600_2706-R2-1000,2706-R2-1000,0,6.33876213,0.0960230458136101
45,103591,60.693813,0,3006700,302470,299630,GULF OF MEXICO,GULF DEEP WATER SPINE,0,0,60.68999863,V,DD,VANDERBILT,99, ,O,D,5, ,2,V A,01201997,E,XX,99,00,GM,,3006700_NA-R0-1000,NA-R0-1000,0,58.96575534,0.977160378442726
46,361587,8.966689,0,364900,9500,9490,HARRASEEKET RIVER,HARRASEEKET RIVER,2,0,8.97000027,V,DD,CORPS,8,19,I,S,6,13290,6,H,08011996,S,ME,23,00, ,,364900_19-R2-1,19-R2-1,0,8.93951367,0.139377375659317
47,333828,3.551021,0,413600,14530,14440,"KILL VAN KULL CHANNEL, NY AND NJ",KILL VAN KULL,31,28,3.54999995,V,JR,CORPS,35,388,I,B,1,12327,5,V A,01201997,W,NJ,34,36, ,,413600_388-R2-1,388-R2-1,27.3467,30.72974762,0.0666068758332349
48,202163,6.708832,0,631300,63290,67730,LAKE SUPERIOR (CANADIAN SIDE),RAINY LAKE,0,0,6.71000004,V,DN,CORPS,12,3998,I,S,6,14500,3,V A,01201997,E,XX,99,00,CD,,631300_3998-R0-1001,3998-R0-1001,0,6.65526952,0.133664057676876
49,281742,8.662788,0,482300,20950,20960,"OFFSHORE, DRUM INLET, NC",ATLANTIC DEEP WATER SPUR,0,0,9.38000011,V,JR,CORPS,12,1800,O,U,5,11544,2,V A,01201997,N,XX,99,00,AT,,482300_1800-R2-1000,1800-R2-1000,0,8.66278247,0.125671743531901
50,336718,2.915729,0,418200,14900,14890,"NEW ROCHELLE HBR, NY",NEW ROCHELLE HARBOR,2,0,2.92000008,V,JR,CORPS,9,346,I,S,1,12364,3,R, ,E,NY,36,00, ,,418200_346-R2-1000,346-R2-1000,0,2.75741598,0.0544840375664635
51,160477,0.214441,0,4190000,422000,6120,"PORT EVERGLADES HARBOR, FL",FLORIDA SHALLOW WATER ACCESS,0,0,0.20999999,V,JR,CWIS,37,2163,I,D,1,11466,3,V,12311997,N,FL,12,00, ,,4190000_2163-R2-1000,2163-R2-1000,0.7652,0.97876533,0.00316793535186458
52,338212,330.238617,0,1002800,15740,11330,"ATLANTIC; DELAWARE BAY TO NANTUCKET",ATLANTIC DEEP WATER SPINE,0,0,330.23999023,V,JR,ORNL,-1,0,O,D,5,0,2,V A,01201997,E,XX,99,00,AT,,1002800_0-R2-1011,0-R2-1011,22.1091,335.2046,6.03113999945608
53,359026,1.003932,0,369833,9990,236400,SAGAMORE CREEK,SAGAMORE CREEK,0,0,1,V,DD,CORPS,12,136,I,B,6, ,7,V A,01201997,E,NH,33,00, ,,369833_136-R2-1,136-R2-1,2.0728,2.92451624,0.0158423507291708
54,302648,2.221591,0,450500,18060,18020,"HONGA RIVER AND TAR BAY, MD",HONGA RIVER,11,9,2.22000003,V,JR,CORPS,7,428,I,S,6,12230,2,R, ,W,MD,24,00, ,,450500_428-R2-1,428-R2-1,16.22226169,18.659,0.0439012805011109
55,178249,2.521596,0,498600,32870,32960,"FOREST RIVER, GA",FOREST RIVER,4,0,2.51999998,V,JR,CORPS,17,1303,I,B,6,0,2, , ,E,GA,13,00, ,,498600_1303-R2-1,1303-R2-1,0,2.5878612,0.0452764473334888
56,335850,6.236719,0,408300,13870,13910,"HOG ISLAND CHANNEL, LI, NY",HOG ISLAND CHANNEL,13,3,6.26000023,V,JR,CORPS,12,1225,I,S,8,12326,17, , ,W,NY,36,00, ,,408300_1225-R2-1000,1225-R2-1000,0,6.00228177,0.110248206515303
57,161878,2.535065,0,333900,5990,6010,"PALM BEACH HARBOR, FLA",ATLANTIC SHALLOW WATER ACCESS,3,1,2.53999996,V,JR,CORPS,33,2162,I,D,8,11466,3,R, ,E,FL,12,00, ,,333900_2162-R2-1,2162-R2-1,0,2.40059801,0.0395896828025879
58,156025,4.732063,0,332000,4620,4700,"IW, CALOOSAHATCHEE R-ANCLOTE R,FLA",GULF INTRACOASTAL WATERWAY,99,92,4.73000002,V,DN,CORPS,9,2062,I,B,1,11412,2,V2,06301994,S,FL,12,00, ,,332000_2062-R2-1001,2062-R2-1001,16.9873,21.71083421,0.0691564038986354
59,339903,8.703441,0,397500,12810,12790,"MILFORD HBR, CT",MILFORD HARBOR,2,0,8.69999981,V,JR,CORPS,9,310,I,S,1,12354,5,R, ,S,CT,09,00, ,,397500_310-R2-1,310-R2-1,0,8.72783987,0.12892508881985
60,103535,481.015137,0,322250,299640,100060,GULF-PANAMA ACCESS,GULF-PANAMA ACCESS,0,0,481.01998901,V,JR,CORPS,99,9158,O,D,5,0,2,V A,01201997,S,XX,99,00,GM,,322250_9158-R0-1003,9158-R0-1003,0,475.5167,7.36404214100517
61,345018,2.522125,0,389170,90080,12130,"NARRAGANSETT BAY, RI",NARRAGANSETT BAY,15,13,2.51999998,V,JR,CORPS,40,196,I,B,1,13223,2,V R,06301994,S,RI,44,00, ,,389170_196-R2-1000,196-R2-1000,12.9951,15.3664,0.0485255944730411
62,333136,1.806777,0,410000,14090,14110,"SANDY HOOK CHANNEL, NY",SANDY HOOK CHANNEL,7,2,1.99000001,V,JR,CORPS,35,396,I,B,8,12327,3,V A,01201997,E,NJ,34,36, ,,410000_396-R2-1000,396-R2-1000,0,1.79879646,0.0268809715025019
63,81895,43.513443,0,2900600,290030,296820,GULF DEEP WATER SEALANE,GULF DEEP WATER SPINE,0,0,43.50999832,V,VR,VANDERBILT,-1,7480,O,D,3,11300,2,V A,01201997,N,XX,99,00,GM,,2900600_7480-R0-1003,7480-R0-1003,0,43.29086214,0.644383809930019
64,361433,3.106462,0,287500,5280,5290,"CASCO BAY ISLANDS, ME",CASCO BAY,2,0,3.1099999,V,JR,CORPS,60,1148,I,B,1,13290,2,R, ,S,ME,23,00, ,,287500_1148-R2-1000,1148-R2-1000,0,3.05848642,0.0500075395270651
65,371706,1.915722,0,356300,8650,8640,"CALF ISLAND, ME",FRENCHMAN BAY,0,0,1.91999996,V,JR,CORPS,12,1031,I,S,1,13312,2,R, ,S,ME,23,00, ,,356300_1031-R2-1000,1031-R2-1000,0,1.91368596,0.0279849551017263
66,343364,2.1137,0,399100,12270,12310,"BLOCK ISLAND SOUND, RI",FISHERS SOUND,12,9,2.1099999,V,JR,CORPS,15,1500,I,B,8,13205,2,V,05051995,W,CT,09,00, ,,399100_1500-R2-1,1500-R2-1,9.424,11.4149,0.0402578998493609
67,304735,8.517877,0,454200,18320,18360,TWITCH COVE & BIG THOROUGHFARE R,TANGIER SOUND,11,5,8.52000046,V,JR,CORPS,7,448,I,S,6,12230,3,R, ,W,MD,24,00, ,,454200_448-R2-1,448-R2-1,8.8749,16.98905126,0.150650877865923
68,301125,0.295396,0,2514300,251420,16990,"NORTHWEST HBR, BALTIMORE, MD",NORTHWEST HARBOR,0,0,0.28999999,V,DD,VANDERBILT,-1,1065,I,B,1,12281,3,V,11251996,E,MD,24,00, ,,2514300_1065-R2-1,1065-R2-1,0,0.36266205,0.00614234623595802
69,289953,15.119176,0,474000,20350,20380,"ALBEMARLE SOUND, NC",ALBEMARLE SOUND,16,0,15.11999989,V,JR,CORPS,18,1249,I,S,1,12205,4,R, ,E,NC,37,00, ,,474000_1249-R2-1000,1249-R2-1000,0,14.373,0.264684295505849
70,337402,1.014003,0,419100,14990,14970,LONG IS SND ENTRANCE TO PT OF NY,LONG ISLAND SOUND,20,18,1.00999999,V,JR,CORPS,37,229,I,B,1,12364,2, , ,S,NY,36,00, ,,419100_229-R2-1,229-R2-1,10.1242,11.1084,0.0171651878499852
71,189645,1238.24829,0,295200,35340,7500,SAN JUAN-ATLANTIC,ATLANTIC-PUERTO RICO ACCESS,1230,0,1238.25,V,JR,CORPS,99,9160,O,D,5,0,2,V A,01201997,S,XX,99,00,AT,,295200_9160-R0-1002,9160-R0-1002,0,1224.66993221,18.8723832454304
72,335097,0.571131,0,416630,402300,14720,"FLUSHING BAY & CREEK, NY",FLUSHING CREEK,0.6,0,0.56999999,V,DD,CORPS,15,354,I,B,1,12300,2,V,12041999,N,NY,36,00, ,,416630_354-R2-1,354-R2-1,0,0.72014421,0.0104731893773527
73,353866,3.053554,0,505700,35440,33590,"OTTER CREEK, VT",OTTER CREEK,6,0,3.04999995,V,DD,CORPS,6,209,I,S,6, ,2,V A,01201997,W,VT,50,00, ,,505700_209-R2-1000,209-R2-1000,0,0.75328948,0.0154489637252222
74,153346,1732.14929,0,329300,35340,7420,ATLANTIC-PANAMA,ATLANTIC-PANAMA ACCESS,1663,0,1732.15002441,V,JR,CORPS,99,9108,O,D,5,0,5,V A,01201997,S,XX,99,00,AT,,329300_9108-R0-1002,9108-R0-1002,0,1730.90051557,25.6759362930643
75,157423,2.52484,0,331500,4660,4650,"PORT TAMPA CHANNEL, FL",OLD TAMPA BAY,8.2,5.7,2.51999998,V,JR,CORPS,42,2022,I,B,8,11412,2,V,05252000,S,FL,12,00, ,,331500_2022-R2-1000,2022-R2-1000,5.6094,8.1225974,0.0373207817441982
76,302836,8.106231,0,446400,17600,17660,"CHESAPEAKE BAY, MD AND VA",CHESAPEAKE BAY,146,139,8.10999966,V,JR,CORPS,47,400,I,B,1,12263,2,R, ,S,MD,24,00, ,,446400_400-R2-1,400-R2-1,101.0585,109.1567,0.118153884165642
77,355995,2.78599,0,289700,13500,10510,"ALLERTON HBR, MA (PORT OF BOSTON)",ALLERTON HARBOR,0,0,2.78999996,V,JR,CORPS,100,1173,I,B,1,13270,6,R, ,S,MA,25,00, ,,289700_1173-R2-1000,1173-R2-1000,0,2.72793345,0.0457154847864935
78,369515,15.784388,0,246600,36000,35990,"SUNSHINE, ME",JERICHO BAY,0,0,15.77999973,V,JR,CORPS,100,1071,I,D,1,13312,6,V A,09132007,S,ME,23,00, ,,246600_1071-R2-1000,1071-R2-1000,0,15.70759051,0.237141916651869
79,338056,4.057673,0,421000,15130,15120,"STAMFORD HBR, CT",STAMFORD HARBOR,7,0,4.05999994,V,JR,CORPS,16,317,I,B,1,12364,7,R, ,S,CT,09,00, ,,421000_317-R2-1,317-R2-1,0,4.01565638,0.0632321319716316
80,309731,3.781189,0,445200,16840,16890,INLAND WTWY FR DE RIVER TO CHESA,CHESAPEAKE BAY,41,43,3.77999997,V,JR,CORPS,35,248,I,B,1,12278,2,R, ,S,MD,24,00, ,,445200_248-R2-1,248-R2-1,0.9927,4.75845668,0.0561497428702784
81,347175,5.523876,0,385900,11660,11650,"MATTAPOISETT HARBOR, MA",MATTAPOISETT HARBOR,2,0,5.51999998,V,JR,CORPS,3,186,I,S,1,13229,2,R, ,S,MA,25,00, ,,385900_186-R2-1000,186-R2-1000,0,5.3744897,0.0930702690703198
82,332270,0.927828,0,412100,14260,14330,RARITAN R TO ARTHUR KILL CUT OFF C,RARITAN BAY,2,0,0.92000002,V,JR,CORPS,20,380,I,B,1,12327,2,V A,01201997,S,NJ,34,00, ,,412100_380-R2-1,380-R2-1,0,0.92079209,0.014914751147865
83,363040,2.920309,0,364600,9470,9440,"KENNEBEC RIVER, ME",KENNEBEC RIVER,44,28,2.92000008,V,DD,CORPS,26,16,I,B,6,13288,4,H,08011996,S,ME,23,00, ,,364600_16-R2-1,16-R2-1,22.21021501,25.34111665,0.0531250335181179
84,299921,3.189533,0,511500,34170,34110,"POTOMAC RIVER BELOW WASHINGTON, DC",POTOMAC RIVER,37,33,3.19000006,V,JR,CORPS,24,452,I,B,6,0,2, , ,E,MD,24,51, ,,511500_452-R2-1,452-R2-1,33.538,36.5467,0.0582528752907204
85,162864,28.318169,0,333605,510480,510471,"KISSIMMEE RIVER, FL",KISSIMMEE RIVER,74.9,45.1,28.31999969,V, ,CORPS,3,2115,I,S,6, ,21,V,01071997,S,FL,12,00, ,,333605_2115-R2-1,2115-R2-1,50.34836211,78.24539681,0.41550501544339
86,376011,3.525278,0,350200,8010,37710,"LUBEC CHANNEL, ME",LUBEC CHANNEL,5,4,3.52999997,V,DD,CORPS,12,1,I,S,6,0,2,W,06202001,S,ME,23,00, ,,350200_1-R2-1000,1-R2-1000,0,3.4817,0.0561329162555743
87,341226,4.752324,0,399400,13240,13220,"THE THIMBLES, CT",LONG ISLAND SOUND,0,0,4.75,V,JR,CORPS,12,1321,I,B,1,12354,2, , ,S,CT,09,00, ,,399400_1321-R2-1,1321-R2-1,0,4.74767392,0.0692968751943784
88,306809,21.887556,0,448200,17830,17810,"CHOPTANK RIVER, MD",CHOPTANK RIVER,41,28,21.88999939,V,DD,CORPS,12,423,I,S,6, ,35,V,03131995,S,MD,24,00, ,,448200_423-R2-1,423-R2-1,29.33942932,50.79246293,0.362251509992662
89,348896,2.12874,0,291700,6140,6250,"SESUIT HBR, EAST DENNIS, MA",SESUIT HARBOR,2,0,2.13000011,V,DD,CORPS,100,1203,O,B,1,13200,6,H,08011996,N,MA,25,00, ,,291700_1203-R2-1000,1203-R2-1000,0,2.11273504,0.0323233445113698
90,157326,4.645458,0,330110,4860,270750,"IW, CALOOSAHATCHEE R-ANCLOTE R,FLA",GULF INTRACOASTAL WATERWAY,151,146.3,4.6500001,V,JR,CORPS,9,2062,I,S,2,11412,2,R,06301994,S,FL,12,00, ,,330110_2062-R2-1001,2062-R2-1001,62.63312497,67.26447131,0.0682621219454468
91,189052,1191.21081,0,295800,7300,7500,SAN JUAN-ATLANTIC,ATLANTIC-PUERTO RICO ACCESS,1240,0,1191.20996094,V,JR,CORPS,99,9160,O,D,5,0,2,V A,01201997,E,XX,99,00,AT,,295800_9160-R0-1001,9160-R0-1001,0,1177.08817603,18.2657081558349
92,158158,0.943323,0,333110,12920,402700,"SPARKMAN-YBOR CHANNELS, FL",SPARKMAN-YBOR CHANNELS,36,35,0.94,V,DD,CORPS,41,2035,I,B,1,11412,3,V,01102000,S,FL,12,00, ,,333110_2035-R2-1000,2035-R2-1000,1.2873,2.22957015,0.0137487907888521
93,292764,10.736376,0,468100,19730,19760,"CHESAPEAKE BAY, MD AND VA",CHESAPEAKE BAY,11,0,10.73999977,V,DD,CORPS,50,400,I,B,1,12220,3,V,12121997,S,VA,51,00, ,,468100_400-R2-1000,400-R2-1000,7.1704,17.74884238,0.166670309750264
