World Port Index Number,Region Name,Main Port Name,Alternate Port Name,UN/LOCODE,Country Code,World Water Body,Sailing Direction or Publication,Publication Link,Standard Nautical Chart,IHO S-57 Electronic Navigational Chart,IHO S-101 Electronic Navigational Chart,Digital Nautical Chart,Tidal Range (m),Entrance Width (m),Channel Depth (m),Anchorage Depth (m),Cargo Pier Depth (m),Oil Terminal Depth (m),Liquified Natural Gas Terminal Depth (m),Maximum Vessel Length (m),Maximum Vessel Beam (m),Maximum Vessel Draft (m),Offshore Maximum Vessel Length (m),Offshore Maximum Vessel Beam (m),Offshore Maximum Vessel Draft (m),Harbor Size,Harbor Type,Harbor Use,Shelter Afforded,Entrance Restriction - Tide,Entrance Restriction - Heavy Swell,Entrance Restriction - Ice,Entrance Restriction - Other,Overhead Limits,Underkeel Clearance Management System,Good Holding Ground,Turning Area,Port Security,Estimated Time of Arrival Message,Quarantine - Pratique,Quarantine - Sanitation,Quarantine - Other,Traffic Separation Scheme,Vessel Traffic Service,First Port of Entry,US Representative,Pilotage - Compulsory,Pilotage - Available,Pilotage - Local Assistance,Pilotage - Advisable,Tugs - Salvage,Tugs - Assistance,Communications - Telephone,Communications - Telefax,Communications - Radio,Communications - Radiotelephone,Communications - Airport,Communications - Rail,Search and Rescue,NAVAREA,Facilities - Wharves,Facilities - Anchorage,Facilities - Dangerous Cargo Anchorage,Facilities - Med Mooring,Facilities - Beach Mooring,Facilities - Ice Mooring,Facilities - Ro-Ro,Facilities - Solid Bulk,Facilities - Liquid Bulk,Facilities - Container,Facilities - Breakbulk,Facilities - Oil Terminal,Facilities - LNG Terminal,Facilities - Other,Medical Facilities,Garbage Disposal,Chemical Holding Tank Disposal,Degaussing,Dirty Ballast Disposal,Cranes - Fixed,Cranes - Mobile,Cranes - Floating,Cranes - Container,Lifts - 100+ Tons,Lifts - 50-100 Tons,Lifts - 25-49 Tons,Lifts - 0-24 Tons,Services - Longshoremen,Services - Electricity,Services - Steam,Services - Navigation Equipment,Services - Electrical Repair,Services - Ice Breaking,Services - Diving,Supplies - Provisions,Supplies - Potable Water,Supplies - Fuel Oil,Supplies - Diesel Oil,Supplies - Aviation Fuel,Supplies - Deck,Supplies - Engine,Repairs,Dry Dock,Railway,Latitude,Longitude
56630,Caroline Islands -- 56560,Colonia,Tomil Harbor; Yap Colonia International Port, ,Federated States of Micronesia,North Pacific Ocean,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub126bk.pdf&type=view,81187, , ,"a1256630, gen12c, h1256630",1,0,23.2,23.2,7.9,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),Unknown,Good,No,No,No,Yes,Yes,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,No,No,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,XI,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,No,No,No,No,Unknown,No,Yes,No,No,Yes,Yes,No,No,No,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,No,No,Limited,Medium,Unknown,9.516667,138.133333
56600,Caroline Islands -- 56560,Moen,Chuuk; Weno, ,Federated States of Micronesia,North Pacific Ocean,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub126bk.pdf&type=view,81327, , ,"a1256600, coa12g, gen12c",1,0,7.9,0,7.9,7.9,0,0,0,0,0,0,0,Very Small,Open Roadstead,Unknown,Good,No,No,No,Yes,No,Unknown,Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,No,No,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,XI,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,No,No,No,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,No,No,Emergency Only,Unknown,Unknown,7.433333,151.833333
56570,Caroline Islands -- 56560,Lele Harbor, , ,Federated States of Micronesia,North Pacific Ocean,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub126bk.pdf&type=view,81488, , ,"a1256570, gen12c, h1256570",1,0,14,12.5,7.9,7.9,0,0,0,0,0,0,0,Very Small,Coastal (Natural),Unknown,Fair,No,Yes,No,Yes,No,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,XI,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,No,No,No,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Emergency Only,Unknown,Unknown,5.333333,163.033333
44804,Turkey Asia -- 44360,Delta Terminal, , ,Turkey,Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub132bk.pdf&type=view,54481, , ,"a1044880, coa10d, gen10b",0,0,0,23.2,0,6.4,0,0,0,0,0,0,0,Very Small,Open Roadstead,Unknown,Poor,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,III,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,Unknown,Yes,Moderate,Unknown,Unknown,36.85,36.166667
50350,Indonesia -- 50020,Cinta Oil Terminal, , ,Indonesia,"Indian Ocean, Java Sea; South Pacific Ocean",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub163bk.pdf&type=view,71180, , ,"coa04a, gen04c",0,0,23.2,23.2,0,23.2,0,0,0,0,0,0,0,Very Small,Open Roadstead,Unknown,Poor,No,No,No,Yes,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,No,Yes,Yes,Unknown,Yes,No,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,XI,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,No,Unknown,No,No,Emergency Only,Unknown,Unknown,-5.5,106.233333
4000,Canada Lake Huron -- 3640,Port Severn, , ,Canada,Lake Huron; Great Lakes,U.S. Coast Pilot 6 - Great Lakes and their connecting waterways,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp6/CPB6_WEB.pdf, , , ,h1802740,0,0,1.8,1.8,1.8,0,0,0,0,0,0,0,0,Very Small,River (Natural),Unknown,Excellent,Unknown,Unknown,Yes,No,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,No,No,Yes,Unknown,Unknown,Unknown,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,IV,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Limited,Unknown,Unknown,44.8,-79.716667
38330,Gibraltar -- 38320,Europa Point, , ,Gibraltar,Strait of Gibraltar; North Atlantic Ocean,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub131bk.pdf&type=view,52045, , ,"a0838320, coa08o, gen08b, h0838320",1,0,12.5,18.6,7.9,9.4,0,0,0,0,0,0,0,Medium,Coastal (Breakwater),Unknown,Good,No,Yes,No,Yes,No,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,No,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Unknown,III,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Major,Medium,Small,36.133333,-5.35
56945,Papua New Guinea -- 56695,Queen Carola Harbor, , ,Papua New Guinea,Solomon Sea; South Pacific Ocean,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub126bk.pdf&type=view,82244, , ,"coa05g, gen05a",2,0,17.1,11,1.8,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),Unknown,Good,No,No,No,Yes,Unknown,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Unknown,Yes,Unknown,Yes,Unknown,Unknown,X,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Unknown,Yes,Unknown,Unknown,Unknown,Limited,Unknown,Unknown,-5.166667,154.55
7010,United States E Coast -- 6585,New Harbor, , ,United States,North Atlantic Ocean,U.S. Coast Pilot 1 - Atlantic Coast: Eastport ME to Cape Cod MA,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp1/CPB1_WEB.pdf,13301, , ,"a1807100, coa18a, gen18a",2.7,0,6.4,6.4,1.8,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),Unknown,Fair,Yes,No,No,No,No,Unknown,Unknown,Unknown,Unknown,No,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,Yes,Unknown,Unknown,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,IV,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Limited,Unknown,Unknown,43.866667,-69.483333
5980,Cape Breton Island -- 5860,Little Bras D Or, , ,Canada,North Atlantic Ocean,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view, , , ,"a1805860, coa18b, gen18b, h1805980",3,0,3.4,6.4,3.4,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),Unknown,Excellent,No,No,Yes,Yes,Unknown,Unknown,No,No,Unknown,No,Yes,Yes,Unknown,Unknown,Unknown,Yes,No,Yes,Unknown,Unknown,Yes,No,No,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown,IV,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,46.25,-60.3
53020,New Guinea West Coast - Irian Jaya -- 52900,Tg. Sorong,Kasim, ,Indonesia,South Pacific Ocean,Sailing Directions Pub. 164 (Enroute) - New Guinea,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub164bk.pdf&type=view, , , ,"a0453020, coa04f, gen04c, h0453020",1,0,18.6,23.2,11,9.4,0,0,0,0,0,0,0,Small,Open Roadstead,Unknown,Fair,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,No,Yes,Yes,Unknown,Yes,No,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Unknown,XI,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Limited,Small,Unknown,-0.883333,131.233333
